tracker_id,account_id,datetime,plan_id,monthly_price,hourly_price,created_at,updated_at
00137d9b-ba88-4b88-be6d-e02623ee3c9e,0330c2ef-f3be-4fc0-ae00-6edb9621e092,2025-01-01 00:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.380185,2026-01-09 18:28:42.380185
1521502e-7161-4d6c-aff6-4b84d89981eb,d667a552-4b25-4a45-9d86-31d901fe30c2,2025-01-01 00:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.380185,2026-01-09 18:28:42.380185
2219d76f-d880-4ad5-8a1b-de9e37b1a526,0330c2ef-f3be-4fc0-ae00-6edb9621e092,2025-01-01 01:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.390983,2026-01-09 18:28:42.390983
21828c6e-4dd0-4ea6-8e51-b559af4d928a,d667a552-4b25-4a45-9d86-31d901fe30c2,2025-01-01 01:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.390983,2026-01-09 18:28:42.390983
cf2f8eac-7078-4ffc-9cca-4c9bb6250422,0330c2ef-f3be-4fc0-ae00-6edb9621e092,2025-01-01 02:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.392834,2026-01-09 18:28:42.392834
1c721314-3b46-4a40-af2d-8433e4b17dfb,d667a552-4b25-4a45-9d86-31d901fe30c2,2025-01-01 02:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.392834,2026-01-09 18:28:42.392834
445528bd-de37-4991-880e-cbd980ddd632,0330c2ef-f3be-4fc0-ae00-6edb9621e092,2025-01-01 03:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.393963,2026-01-09 18:28:42.393963
9f4e087c-eea3-4d48-bc22-c18d805a1ec5,d667a552-4b25-4a45-9d86-31d901fe30c2,2025-01-01 03:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.393963,2026-01-09 18:28:42.393963
37fe9351-c5a6-47bb-a63f-4105b5d8379e,0330c2ef-f3be-4fc0-ae00-6edb9621e092,2025-01-01 04:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.398246,2026-01-09 18:28:42.398246
7f927dab-e560-4eda-9f0b-100f19f6b227,d667a552-4b25-4a45-9d86-31d901fe30c2,2025-01-01 04:00:00,20f276ed-1b44-405d-a87d-83aca759cbfd,49.99,0.067191,2026-01-09 18:28:42.398246,2026-01-09 18:28:42.398246
