transaction_id,customer_id,account_id,booking_id,parent_transaction_id,transaction_type,amount,currency,status,payment_method,payment_reference,tax_amount,tax_rate,description,processed_at,refunded_at,created_at,updated_at
747b12fe-9e29-42a6-9b39-fad4d9ffdb73,dfb08fba-bf26-4d29-bd09-aba962218a8f,d667a552-4b25-4a45-9d86-31d901fe30c2,8485642c-cb77-446c-80c0-8b653a9e6868,,booking_fee,5200.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK884799,,,2025-01-01 16:00:00,2025-01-01 16:00:00
5be1a095-ea2b-49a4-b8f9-c36210d1dda2,0b0f839e-1ce0-4191-a000-25913b1d742a,0330c2ef-f3be-4fc0-ae00-6edb9621e092,f18c6a55-165f-4846-8e6d-f65104b6b6c5,,booking_fee,5625.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK250285,,,2025-01-01 17:00:00,2025-01-01 17:00:00
e28f1bbc-432f-4ce4-a142-d6e609d9f6dd,a46a32c5-639c-43d4-bc1f-49356f4f1151,0330c2ef-f3be-4fc0-ae00-6edb9621e092,1258c037-e32b-4852-8152-f4175a05ff6a,,booking_fee,4499.85,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK805393,,,2025-01-01 17:00:00,2025-01-01 17:00:00
225f405f-64a8-46a8-9990-ce99839c4575,75421d0d-567a-4b6c-8f57-83aa3fb9927c,0330c2ef-f3be-4fc0-ae00-6edb9621e092,a6634559-5e13-4b5d-b023-da0903aaeb45,,booking_fee,1125.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK860916,,,2025-01-01 08:00:00,2025-01-01 08:00:00
aba17343-f014-4380-ad33-426e3182386d,4f8ebfbb-a525-472a-8be4-32a97efcad03,0330c2ef-f3be-4fc0-ae00-6edb9621e092,81e33a45-6b5a-4e72-bc3b-fb4bbfbf4267,,booking_fee,1875.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK957179,,,2025-01-01 08:00:00,2025-01-01 08:00:00
1e3cd451-899b-4a1b-b876-4e1685375ebd,d1e0583c-5b64-43e1-8c94-358119668c72,d667a552-4b25-4a45-9d86-31d901fe30c2,f2fed13a-406a-4e18-a67d-b8055e3222f1,,booking_fee,1950.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK805859,,,2025-01-01 08:00:00,2025-01-01 08:00:00
2fac6851-80f1-402f-9c8e-a74c1b224991,f7ba2504-46c4-4ebb-9686-e48ba71df416,d667a552-4b25-4a45-9d86-31d901fe30c2,67d90b67-43d5-447c-a246-ad6a09b5aff1,,booking_fee,3000.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK436779,,,2025-01-01 08:00:00,2025-01-01 08:00:00
7a95228e-c6c1-4edb-adcb-d4e13eb2efbd,0eb1c1a0-b14b-438c-9522-825f27669132,0330c2ef-f3be-4fc0-ae00-6edb9621e092,233a0ff8-75ff-4d5b-bada-09a8d59143bb,,booking_fee,975.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK117878,,,2025-01-01 09:00:00,2025-01-01 09:00:00
68edf3b1-e9d2-4d87-8250-7447260f122c,4c9e0e55-d382-47cf-a593-c3efc05413f3,0330c2ef-f3be-4fc0-ae00-6edb9621e092,89982ad3-a327-48b9-9666-31db03c079d0,,booking_fee,1475.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK201650,,,2025-01-01 09:00:00,2025-01-01 09:00:00
efec7bce-6400-40dd-9601-fdc28bb40ec9,d0de7956-0cfc-4b8b-9ee5-8efc5975cb5c,d667a552-4b25-4a45-9d86-31d901fe30c2,3cb82e8d-f46c-450b-a99f-46244278c2ec,,booking_fee,2250.00,USD,completed,,,0.00,0.0000,Booking fee for unicorn rental BK887816,,,2025-01-01 09:00:00,2025-01-01 09:00:00
